      Freq           Vin                   Vout                    Iin                   Iout                    Pin                   Zout                   Pout                    Zin                     Av                     Ai          
        Hz             V                      V                      A                      A                      W                   Ohms                      W                   Ohms                      L                      L          
 1.000e+01  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 1.111e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 2.222e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 3.333e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 4.444e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 5.556e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 6.667e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 7.778e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 8.889e+06  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
 1.000e+07  3.615e+00+j 0.000e+00  3.983e-02+j 0.000e+00  2.769e-02+j 0.000e+00  5.311e-04+j 0.000e+00  1.001e-01+j 0.000e+00  6.299e+01+j 0.000e+00  2.115e-05+j 0.000e+00  1.306e+02+j 0.000e+00  1.102e-02+j 0.000e+00  1.918e-02+j 0.000e+00
